H_value	lvl_1	lvl_2	lvl_3	lvl_4	lvl_5	lvl_6	lvl_7	lvl_8	lvl_9	lvl_10	lvl_11	lvl_12	lvl_13	lvl_14	lvl_15	lvl_16	lvl_17	lvl_18	lvl_19	lvl_20	lvl_21	lvl_22	lvl_23	lvl_24	lvl_25	lvl_26	
-0.05000	0.171990434769	0.171990434769	5.01340233139	5.01340233206	-5.01261226536	-5.0126122654	-0.171765706886	-0.171765706886	3.00426556041	3.0042655605	-3.00173548687	-3.00173548636	0.00216800273076	0.00216800288389	-0.0021680032403	-0.00216800326401	0.823055486501	0.823055486579	-0.825585560371	-0.825585560612	0.655252265943	0.655252265786	-0.656042331962	-0.656042331798	-0.00022472850096	-0.00022472850096	
-0.04500	0.154801930014	0.154801930014	5.01336287658	5.01336287642	-5.01265181655	-5.01265181659	-0.154599673619	-0.154599673619	3.00413918106	3.00413918113	-3.00186211466	-3.0018621149	0.00195120312978	0.00195120277629	-0.0019512031361	-0.00195120261915	0.82318211453	0.823182114913	-0.82545918098	-0.825459181125	0.655291816746	0.655291816491	-0.656002876021	-0.656002876298	-0.000202255742668	-0.000202255742668	
-0.04000	0.137610098824	0.137610098824	5.01332341505	5.01332341582	-5.01269136268	-5.01269136284	-0.13743031569	-0.13743031569	3.00401278837	3.00401278883	-3.00198873011	-3.00198872942	0.00173440270679	0.00173440241986	-0.00173440245779	-0.00173440230088	0.823308729485	0.823308729746	-0.825332788849	-0.82533278841	0.655331362612	0.655331362767	-0.655963415539	-0.655963415457	-0.000179782819106	-0.000179782819106	
-0.03500	0.120415308598	0.120415308598	5.01328395028	5.01328394991	-5.0127309033	-5.01273090387	-0.120257999248	-0.120257999248	3.00388638318	3.00388638322	-3.00211533129	-3.00211533169	0.00151760210548	0.00151760238528	-0.00151760220314	-0.0015176023518	0.823435331853	0.823435331684	-0.82520638301	-0.825206382903	0.655370903668	0.655370903516	-0.655923949746	-0.655923949915	-0.000157309901334	-0.000157309901334	
-0.03000	0.103217931736	0.103217931736	5.01324447867	5.01324447918	-5.01277043942	-5.01277043984	-0.10308309396	-0.10308309396	3.00375996415	3.00375996461	-3.00224192068	-3.00224192014	0.00130080176983	0.00130080230778	-0.00130080187723	-0.00130080219873	0.823561920412	0.82356192029	-0.825079964681	-0.825079964594	0.655410439352	0.655410439422	-0.655884479139	-0.655884479057	-0.000134837100388	-0.000134837100388	
-0.02500	0.0860183346278	0.0860183346278	5.01320500322	5.01320500362	-5.01280997096	-5.01280996984	-0.0859059710762	-0.0859059710762	3.00363353304	3.00363353315	-3.0023684958	-3.00236849628	0.00108400190956	0.00108400140202	-0.00108400177239	-0.00108400178501	0.823688496254	0.823688495849	-0.824953532725	-0.824953533105	0.655449970307	0.655449970419	-0.655845003345	-0.65584500325	-0.000112364162042	-0.000112364162042	
-0.02000	0.0688168875794	0.0688168875794	5.01316552244	5.01316552276	-5.01284949626	-5.01284949661	-0.0687269963767	-0.0687269963767	3.00350708807	3.00350708786	-3.00249505878	-3.0024950588	0.000867201425554	0.000867201344619	-0.000867201286017	-0.000867201261668	0.823815058615	0.82381505894	-0.824827088016	-0.824827088377	0.655489496328	0.655489496069	-0.655805522472	-0.655805522601	-8.98913919023e-05	-8.98913919023e-05	
-0.01500	0.051613960991	0.051613960991	5.01312603685	5.01312603699	-5.01288901726	-5.01288901718	-0.0515465429745	-0.0515465429745	3.00338063029	3.00338063001	-3.002621608	-3.00262160852	0.000650401019241	0.000650400893028	-0.000650401348784	-0.000650400836472	0.823941607896	0.823941608375	-0.824700630165	-0.824700630259	0.655529017073	0.655529017119	-0.655766036726	-0.65576603671	-6.74185827292e-05	-6.74185827292e-05	
-0.01000	0.0344099241677	0.0344099241677	5.01308654625	5.0130865461	-5.01292853265	-5.01292853307	-0.0343649785005	-0.0343649785005	3.00325415965	3.00325415933	-3.00274814474	-3.00274814479	0.000433600893353	0.000433600753492	-0.000433600732848	-0.000433600675698	0.824068144436	0.824068144748	-0.824574159086	-0.824574159163	0.655568533071	0.655568532908	-0.655726546063	-0.655726546016	-4.49456164016e-05	-4.49456164016e-05	
-0.00500	0.0172051470949	0.0172051470949	5.01304705026	5.01304704998	-5.01296804404	-5.01296804401	-0.0171826741065	-0.0171826741065	3.0031276754	3.00312767493	-3.00287466794	-3.00287466744	0.000216800415856	0.000216800554876	-0.000216800479442	-0.000216800796935	0.82419466777	0.824194667905	-0.82444767507	-0.824447675255	0.655608043529	0.655608043655	-0.655687050422	-0.655687050374	-2.24728099233e-05	-2.24728099233e-05	
-0.00000	-2.09886294e-16	0.0	-3.96996837358	4.52810474306	-4.70739540284	4.1492590337	1.09287578987e-16	0.0	2.83411915926	-2.74828349202	2.37841427984	-2.4642499468	0.0	-7.80083463103e-17	2.34187669257e-17	0.0	0.0381186122787	-0.0677289289202	0.0267702232033	0.00284009340564	-0.161998445449	0.0924319606267	0.0867354442328	-0.0171689592144	0.0	6.07153216592e-18	
0.00500	-0.0172051471923	-0.0172051471923	-5.0130470504	-5.0130470504	5.01296804374	5.0129680438	0.0171826751431	0.0171826751431	-3.00312767521	-3.00312767552	3.00287466797	3.00287466757	-0.00021680063975	-0.000216800331375	0.00021680010811	0.000216800437847	-0.824194667877	-0.824194667653	0.824447675129	0.824447675027	-0.65560804389	-0.655608043891	0.65568705023	0.655687050455	2.24728979437e-05	2.24728979437e-05	
