lvl_1  k2 k1 k0
H: -0.39701 -0.0285714 2.2948994 -175.8238761
H: -0.39601 -0.0214286 2.3005924 -175.8227418
H: -0.39501 -0.0285714 2.2949137 -175.8238704
H: -0.39401 -0.0214286 2.3005782 -175.8227475
H: -0.39301 -0.0285714 2.2949280 -175.8238648
H: -0.39201 -0.0357143 2.2892864 -175.8249787
H: -0.39101 -0.0357143 2.2892979 -175.8249742
H: -0.39001 -0.0285714 2.2948994 -175.8238760
H: -0.38901 -0.0214286 2.3004924 -175.8227812
H: -0.38801 -0.0285714 2.2949137 -175.8238704
H: -0.38701 -0.0357143 2.2893436 -175.8249564
H: -0.38601 -0.0357143 2.2893550 -175.8249519
H: -0.38501 -0.0142857 2.3059626 -175.8217341
H: -0.38401 -0.0142857 2.3059512 -175.8217386
H: -0.38301 -0.0357143 2.2894293 -175.8249232
H: -0.38201 -0.0500000 2.2784490 -175.8270331
H: -0.38101 -0.0357143 2.2894121 -175.8249298
H: -0.38001 -0.0142857 2.3058054 -175.8217945
H: -0.37901 -0.0142857 2.3057940 -175.8217989
H: -0.37801 -0.0357143 2.2894864 -175.8249015
H: -0.37701 -0.0500000 2.2786490 -175.8269568
H: -0.37601 -0.0357143 2.2894693 -175.8249080
H: -0.37501 -0.0142857 2.3056483 -175.8218541
H: -0.37401 -0.0285714 2.2948737 -175.8238857
H: -0.37301 -0.0428571 2.2841563 -175.8258958
H: -0.37201 -0.0285714 2.2948680 -175.8238878
H: -0.37101 -0.0142857 2.3055226 -175.8219013
H: -0.37001 -0.0357143 2.2895579 -175.8248747
H: -0.36901 -0.0357143 2.2895693 -175.8248705
H: -0.36801 -0.0285714 2.2948566 -175.8238921
H: -0.36701 -0.0357143 2.2895721 -175.8248694
H: -0.36601 -0.0357143 2.2895836 -175.8248652
H: -0.36501 -0.0285714 2.2948280 -175.8239026
H: -0.36401 -0.0357143 2.2895864 -175.8248642
H: -0.36301 -0.0357143 2.2895979 -175.8248600
H: -0.36201 -0.0285714 2.2947994 -175.8239130
H: -0.36101 -0.0357143 2.2896007 -175.8248590
H: -0.36001 -0.0357143 2.2896121 -175.8248548
H: -0.35901 -0.0285714 2.2947709 -175.8239234
H: -0.35801 -0.0357143 2.2896150 -175.8248538
H: -0.35701 -0.0357143 2.2896264 -175.8248497
H: -0.35601 -0.0285714 2.2947423 -175.8239337
H: -0.35501 -0.0357143 2.2896293 -175.8248487
H: -0.35401 -0.0500000 2.2794490 -175.8266623
H: -0.35301 -0.0357143 2.2896121 -175.8248548
H: -0.35201 -0.0142857 2.3048054 -175.8221617
H: -0.35101 -0.0285714 2.2946880 -175.8239530
H: -0.35001 -0.0428571 2.2846277 -175.8257242
H: -0.34901 -0.0428571 2.2846334 -175.8257222
H: -0.34801 -0.0357143 2.2896293 -175.8248486
H: -0.34701 -0.0357143 2.2896407 -175.8248446
H: -0.34601 -0.0285714 2.2946137 -175.8239791
H: -0.34501 -0.0357143 2.2896436 -175.8248436
H: -0.34401 -0.0500000 2.2797490 -175.8265569
H: -0.34301 -0.0357143 2.2896264 -175.8248496
H: -0.34201 -0.0285714 2.2945423 -175.8240038
H: -0.34101 -0.0357143 2.2896293 -175.8248486
H: -0.34001 -0.0357143 2.2896407 -175.8248447
H: -0.33901 -0.0428571 2.2847506 -175.8256816
H: -0.33801 -0.0428571 2.2847563 -175.8256797
H: -0.33701 -0.0285714 2.2944680 -175.8240291
H: -0.33601 -0.0285714 2.2944451 -175.8240369
H: -0.33501 -0.0428572 2.2848134 -175.8256603
H: -0.33401 -0.0571429 2.2751989 -175.8272780
H: -0.33301 -0.0285714 2.2943766 -175.8240599
H: -0.33201 -0.0357143 2.2895921 -175.8248611
H: -0.33101 -0.0428571 2.2848163 -175.8256594
H: -0.33001 -0.0500000 2.2800890 -175.8264415
H: -0.32901 -0.0285714 2.2942851 -175.8240904
H: -0.32801 -0.0357143 2.2895579 -175.8248725
H: -0.32701 -0.0500000 2.2801490 -175.8264217
H: -0.32601 -0.0357143 2.2895407 -175.8248781
H: -0.32501 -0.0428571 2.2848506 -175.8256480
H: -0.32401 -0.0428571 2.2848563 -175.8256462
H: -0.32301 -0.0428572 2.2848620 -175.8256443
H: -0.32201 -0.0357143 2.2894864 -175.8248958
H: -0.32101 -0.0357143 2.2894979 -175.8248921
H: -0.32001 -0.0428572 2.2848791 -175.8256388
H: -0.31901 -0.0428571 2.2848849 -175.8256369
H: -0.31801 -0.0428571 2.2848906 -175.8256351
H: -0.31701 -0.0357143 2.2894436 -175.8249096
H: -0.31601 -0.0500000 2.2803490 -175.8263570
H: -0.31501 -0.0500000 2.2803490 -175.8263570
H: -0.31401 -0.0500000 2.2803490 -175.8263570
H: -0.31301 -0.0500000 2.2803490 -175.8263570
H: -0.31201 -0.0357143 2.2893407 -175.8249421
H: -0.31101 -0.0285714 2.2938137 -175.8242419
H: -0.31001 -0.0500000 2.2804090 -175.8263382
H: -0.30901 -0.0571429 2.2759760 -175.8270260
H: -0.30801 -0.0428571 2.2848477 -175.8256486
H: -0.30701 -0.0357143 2.2892579 -175.8249679
H: -0.30601 -0.0500000 2.2804490 -175.8263258
H: -0.30501 -0.0500000 2.2804490 -175.8263258
H: -0.30401 -0.0357143 2.2892122 -175.8249819
H: -0.30301 -0.0428571 2.2848363 -175.8256521
H: -0.30201 -0.0571429 2.2761360 -175.8269768
H: -0.30101 -0.0500000 2.2804890 -175.8263136
H: -0.30001 -0.0428572 2.2847934 -175.8256651
H: -0.29901 -0.0571428 2.2761789 -175.8269638
H: -0.29801 -0.0500000 2.2804890 -175.8263136
H: -0.29701 -0.0428571 2.2847506 -175.8256780
H: -0.29601 -0.0428571 2.2847563 -175.8256763
H: -0.29501 -0.0428571 2.2847620 -175.8256746
H: -0.29401 -0.0500000 2.2805090 -175.8263076
H: -0.29301 -0.0571429 2.2763046 -175.8269263
H: -0.29201 -0.0571429 2.2762989 -175.8269280
H: -0.29101 -0.0428571 2.2846849 -175.8256973
H: -0.29001 -0.0571429 2.2763274 -175.8269196
H: -0.28901 -0.0428571 2.2846563 -175.8257057
H: -0.28801 -0.0571429 2.2763560 -175.8269113
H: -0.28701 -0.0428571 2.2846277 -175.8257140
H: -0.28601 -0.0571429 2.2763846 -175.8269031
H: -0.28501 -0.0571428 2.2763789 -175.8269047
H: -0.28401 -0.0500000 2.2804890 -175.8263135
H: -0.28301 -0.0428571 2.2845506 -175.8257361
H: -0.28201 -0.0571428 2.2764217 -175.8268925
H: -0.28101 -0.0642857 2.2723830 -175.8274633
H: -0.28001 -0.0500000 2.2804490 -175.8263248
H: -0.27901 -0.0500000 2.2804490 -175.8263248
H: -0.27801 -0.0500000 2.2804490 -175.8263248
H: -0.27701 -0.0642857 2.2724573 -175.8274425
H: -0.27601 -0.0571429 2.2764474 -175.8268852
H: -0.27501 -0.0571429 2.2764417 -175.8268868
H: -0.27401 -0.0571429 2.2764360 -175.8268884
H: -0.27301 -0.0500000 2.2803890 -175.8263415
H: -0.27201 -0.0428571 2.2842934 -175.8258080
H: -0.27101 -0.0714286 2.2686586 -175.8279469
H: -0.27001 -0.0714286 2.2686814 -175.8279406
H: -0.26901 -0.0428571 2.2841906 -175.8258360
H: -0.26801 -0.0500000 2.2803090 -175.8263633
H: -0.26701 -0.0714286 2.2687700 -175.8279167
H: -0.26601 -0.0642857 2.2726116 -175.8274002
H: -0.26501 -0.0500000 2.2802490 -175.8263794
H: -0.26401 -0.0642857 2.2726287 -175.8273956
H: -0.26301 -0.0571429 2.2764331 -175.8268890
H: -0.26201 -0.0571429 2.2764274 -175.8268905
H: -0.26101 -0.0571429 2.2764217 -175.8268920
H: -0.26001 -0.0785714 2.2651770 -175.8283672
H: -0.25901 -0.0571428 2.2763903 -175.8269003
H: -0.25801 -0.0571429 2.2763846 -175.8269018
H: -0.25701 -0.0714286 2.2689586 -175.8278668
H: -0.25601 -0.0714286 2.2689814 -175.8278609
H: -0.25501 -0.0571429 2.2763274 -175.8269165
H: -0.25401 -0.0571429 2.2763217 -175.8269180
H: -0.25301 -0.0642857 2.2726830 -175.8273814
H: -0.25201 -0.0642857 2.2726716 -175.8273843
H: -0.25101 -0.0714286 2.2690557 -175.8278419
H: -0.25001 -0.0642857 2.2726687 -175.8273850
H: -0.24901 -0.0642857 2.2726573 -175.8273879
H: -0.24801 -0.0714286 2.2690843 -175.8278347
H: -0.24701 -0.0642857 2.2726544 -175.8273886
H: -0.24601 -0.0642857 2.2726430 -175.8273915
H: -0.24501 -0.0714286 2.2691129 -175.8278276
H: -0.24401 -0.0785714 2.2655913 -175.8282617
H: -0.24301 -0.0571428 2.2761189 -175.8269687
H: -0.24201 -0.0714286 2.2691214 -175.8278255
H: -0.24101 -0.0785714 2.2656427 -175.8282491
H: -0.24001 -0.0785714 2.2656599 -175.8282449
H: -0.23901 -0.0500000 2.2794490 -175.8265812
H: -0.23801 -0.0642857 2.2725716 -175.8274089
H: -0.23701 -0.0857143 2.2623069 -175.8286382
H: -0.23601 -0.0857143 2.2623183 -175.8286354
H: -0.23501 -0.0642857 2.2724973 -175.8274266
H: -0.23401 -0.0642857 2.2724859 -175.8274293
H: -0.23301 -0.0857143 2.2623926 -175.8286179
