	lvl_1	lvl_2	lvl_3	lvl_4	lvl_5	lvl_6	lvl_7	lvl_8	lvl_9	lvl_10	lvl_11	lvl_12	lvl_13	lvl_14	lvl_15	lvl_16
-0.40101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.40001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.39901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.39801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.39701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.39601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.39501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.39401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.39301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.39201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.39101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.39001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.38901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.38801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.38701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.38601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.38501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.38401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.38301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.38201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.38101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.38001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.37901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.37801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.37701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.37601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.37501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.37401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.37301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.37201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.37101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.37001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.36901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.36801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.36701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.36601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.36501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.36401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.36301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.36201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.36101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.36001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.35901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.35801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.35701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.35601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.35501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.35401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.35301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.35201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.35101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.35001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.34901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.34801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.34701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.34601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.34501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.34401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.34301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.34201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.34101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.34001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.33901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.33801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.33701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.33601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.33501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.33401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.33301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.33201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.33101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.33001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.32901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.32801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.32701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.32601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.32501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.32401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.32301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.32201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.32101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.32001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.31901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.31801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.31701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.31601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.31501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.31401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.31301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.31201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.31101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.31001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.30901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.30801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.30701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.30601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.30501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.30401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.30301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.30201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
